Date;Credit_Portfolio_Total;Credit_Portfolio_Corporate;Credit_Portfolio_Retail;Delinquency_15-90d_Total_%;Delinquency_15-90d_Corporate_%;Delinquency_15-90d_Retail_%;Interest_Rate_NonEarmarked_Corporate_%am;Interest_Rate_NonEarmarked_Retail_%am;Default_Rate_Personal_NonPayroll_%;Default_Rate_Personal_Payroll_Private_%;Default_Rate_Revolving_Credit_Card_%;Default_Rate__Corporate_SMBs_%;Default_Rate_Corporate_Large_%;Unemployment_Rate_PNADC_%;Inflation_IPC-Br_%;Net_Debt_FedGov_CenBank_%GDP;Net_Debt_Consolidated_%GDP;Primary_Result_YTD_ex-FX
01/06/2018;3.14E+12;1.43E+12;1.71E+12;4.66;2.54;6.45;1.55;3.57;7.23;4.34;34.01;5.33;1.1;12.6;1.19;37.59;50.71;14424020000
01/07/2018;3.13E+12;1.42E+12;1.71E+12;4.84;2.81;6.52;1.58;3.51;7.24;4.38;36.1;5.34;0.93;12.4;0.17;38.28;51.3;17824670000
01/08/2018;3.17E+12;1.43E+12;1.73E+12;4.69;2.74;6.3;1.56;3.49;7.2;4.34;36.43;5.33;0.99;12.2;0.07;37.1;50.33;34700220000
01/09/2018;3.18E+12;1.44E+12;1.74E+12;4.36;2.01;6.3;1.56;3.5;7.09;4.28;36.52;5.13;1.27;12;0.45;38.17;51.32;59321400000
01/10/2018;3.18E+12;1.42E+12;1.76E+12;4.71;2.42;6.56;1.57;3.5;7.09;4.27;36.39;5.09;1.32;11.8;0.48;39.43;52.42;51523300000
01/11/2018;3.21E+12;1.43E+12;1.78E+12;4.63;2.23;6.56;1.56;3.49;7.11;4.17;34.99;4.95;1.24;11.7;-0.17;39.03;52.2;67125230000
01/12/2018;3.27E+12;1.46E+12;1.80E+12;4.16;1.75;6.11;1.45;3.33;7.05;4.3;36.55;4.91;1.06;11.7;0.29;39.46;52.77;1.08E+11
01/01/2019;3.24E+12;1.42E+12;1.81E+12;4.21;1.76;6.13;1.55;3.46;7.02;4.29;35.69;4.77;1.19;12.2;0.57;40.13;53.11;-46897380000
01/02/2019;3.25E+12;1.42E+12;1.82E+12;4.08;1.71;5.93;1.51;3.55;6.88;4.08;33.58;4.52;1.21;12.5;0.35;40.15;53.1;-31966590000
01/03/2019;3.27E+12;1.44E+12;1.84E+12;4.47;1.78;6.58;1.51;3.59;7.05;4.07;34.5;4.69;1.29;12.8;0.65;39.95;53.04;-13337350000
01/04/2019;3.27E+12;1.42E+12;1.85E+12;4.54;2.1;6.41;1.52;3.58;7.02;4.03;34.24;4.58;1.44;12.6;0.63;39.91;53.05;-19974430000
01/05/2019;3.29E+12;1.42E+12;1.87E+12;4.7;2.59;6.3;1.49;3.54;7.27;4.01;34.75;4.73;1.37;12.4;0.22;40.13;53.24;-6966440000
01/06/2019;3.30E+12;1.42E+12;1.88E+12;4.45;1.68;6.55;1.43;3.56;7.43;3.88;33.49;4.22;1.37;12.1;-0.02;40.75;53.82;5739780000
01/07/2019;3.30E+12;1.40E+12;1.90E+12;4.47;1.68;6.53;1.47;3.5;7.52;3.89;34.83;4.52;1.3;11.9;0.31;41.31;54.27;8502760000
01/08/2019;3.33E+12;1.41E+12;1.92E+12;4.46;1.71;6.49;1.44;3.48;7.28;3.84;35.89;4.37;1.26;11.9;0.17;40.09;53.31;21950410000
01/09/2019;3.37E+12;1.43E+12;1.94E+12;4.25;1.45;6.3;1.34;3.43;7.5;3.88;36.09;4.22;1.32;11.9;0;40.42;53.64;42491100000
01/10/2019;3.38E+12;1.42E+12;1.96E+12;4.36;1.69;6.29;1.34;3.35;7.53;3.87;36.92;4.09;1.31;11.7;-0.09;41.02;54.11;33046750000
01/11/2019;3.42E+12;1.44E+12;1.99E+12;4.32;1.62;6.27;1.33;3.38;7.51;3.94;36.83;3.87;1.3;11.3;0.49;40.59;53.79;48359210000
01/12/2019;3.48E+12;1.46E+12;2.02E+12;4.25;1.67;6.11;1.26;3.21;7.72;4.07;37.95;3.71;1.21;11.1;0.77;41.66;54.7;61871860000
01/01/2020;3.47E+12;1.43E+12;2.03E+12;4.19;1.63;5.99;1.36;3.19;7.74;4.09;34.6;3.79;1.24;11.3;0.59;40.14;53.19;-56275830000
01/02/2020;3.48E+12;1.44E+12;2.04E+12;4.2;1.73;5.94;1.31;3.25;7.68;4.14;35.99;3.76;1.2;11.7;-0.01;39.47;52.54;-35374830000
01/03/2020;3.58E+12;1.53E+12;2.05E+12;4.2;1.8;5.99;1.28;3.23;7.98;4.16;38.87;3.79;1.24;12.4;0.34;37.11;50.63;-11719510000
01/04/2020;3.58E+12;1.55E+12;2.03E+12;4.11;3.03;4.94;1.23;3.08;8.22;4.17;39.21;4.07;1.29;12.7;-0.18;37.77;51.58;82583040000
01/05/2020;3.60E+12;1.57E+12;2.03E+12;3.41;2.43;4.16;1.11;3.02;8.14;4.03;41.59;4.16;1.26;13.1;-0.54;39.73;53.72;2.14E+11
01/06/2020;3.62E+12;1.58E+12;2.04E+12;2.87;1.88;3.63;1.01;2.85;7.52;4.02;42.49;3.21;1.08;13.6;0.36;42.28;56.24;4.03E+11
01/07/2020;3.67E+12;1.61E+12;2.06E+12;2.91;1.82;3.76;0.97;2.79;7.16;4;44.13;2.76;1;14.1;0.49;44.4;58.12;4.84E+11
01/08/2020;3.74E+12;1.65E+12;2.09E+12;2.69;1.34;3.76;0.97;2.74;6.7;4.02;43.85;2.36;1.23;14.8;0.53;44.87;58.67;5.71E+11
01/09/2020;3.82E+12;1.70E+12;2.12E+12;2.54;1.05;3.73;0.91;2.69;5.82;4.04;42.94;1.99;0.97;14.9;0.82;45.53;59.3;6.36E+11
01/10/2020;3.88E+12;1.72E+12;2.16E+12;2.95;1.31;4.25;0.94;2.74;5.66;4.06;41.71;1.98;0.92;14.6;0.65;45.39;59.15;6.33E+11
01/11/2020;3.96E+12;1.75E+12;2.21E+12;2.99;1.28;4.34;0.96;2.68;5.65;4.1;35.98;1.92;0.64;14.3;0.94;47.14;60.58;6.51E+11
01/12/2020;4.02E+12;1.78E+12;2.24E+12;2.85;1.32;4.07;0.92;2.61;5.08;4.16;37.12;1.92;0.55;14.2;1.07;47.98;61.37;7.03E+11
01/01/2021;4.02E+12;1.76E+12;2.25E+12;2.98;1.33;4.28;1.18;2.75;5.07;4.07;34.42;2.08;0.46;14.4;0.27;46.72;59.71;-58374620000
01/02/2021;4.04E+12;1.77E+12;2.27E+12;3.03;1.24;4.43;1.08;2.8;5.02;4.09;30.41;2.13;0.7;14.6;0.54;46.74;59.5;-46604840000
01/03/2021;4.11E+12;1.81E+12;2.30E+12;3.19;1.25;4.71;1.08;2.84;5.08;4.05;30.12;2.28;0.36;14.9;1;45.9;58.53;-51586010000
01/04/2021;4.13E+12;1.80E+12;2.32E+12;3.24;1.41;4.67;1.15;2.87;5.16;3.96;28.67;2.42;0.4;14.8;0.23;45.57;57.71;-75841440000
01/05/2021;4.18E+12;1.81E+12;2.36E+12;3.13;1.21;4.61;1.14;2.78;5.01;3.96;29.89;2.86;0.39;14.7;0.81;45.75;57.53;-60300020000
01/06/2021;4.21E+12;1.81E+12;2.40E+12;3.01;1.11;4.44;1.13;2.79;4.94;3.91;30.98;2.73;0.37;14.2;0.64;47.01;58.43;5208070000
01/07/2021;4.27E+12;1.83E+12;2.44E+12;2.97;1.13;4.36;1.21;2.77;4.82;3.93;32.59;2.77;0.43;13.7;0.92;46.53;57.77;15491210000
01/08/2021;4.34E+12;1.85E+12;2.50E+12;2.93;1.15;4.25;1.26;2.82;4.9;3.96;32.95;2.36;0.4;13.2;0.71;46.45;57.18;-1237390000
01/09/2021;4.44E+12;1.89E+12;2.55E+12;2.89;1.02;4.27;1.32;2.87;4.88;4.04;36.67;2.32;0.49;12.7;1.43;45.54;56.17;-14170860000
01/10/2021;4.51E+12;1.91E+12;2.60E+12;3;1.02;4.45;1.45;2.99;4.91;4.04;37.3;2.34;0.48;12.1;0.77;44.69;55.21;-49570220000
01/11/2021;4.60E+12;1.93E+12;2.67E+12;3.1;1.06;4.57;1.53;3.06;4.75;4.1;36.68;2.39;0.45;11.6;1.08;44.68;54.98;-64604300000
01/12/2021;4.68E+12;1.97E+12;2.71E+12;2.94;1.06;4.31;1.51;3.1;4.94;4.49;39.47;2.4;0.36;11.1;0.57;44.71;55.11;-64727490000
01/01/2022;4.68E+12;1.94E+12;2.74E+12;3.3;1.18;4.81;1.62;3.17;5.23;4.86;39.8;2.47;0.37;11.2;0.49;44.79;54.82;-1.02E+11
01/02/2022;4.72E+12;1.97E+12;2.76E+12;3.34;1.17;4.9;1.63;3.28;5.27;4.67;38.19;2.44;0.37;11.2;0.28;45.79;55.45;-1.05E+11
01/03/2022;4.79E+12;1.99E+12;2.80E+12;3.62;1.39;5.21;1.63;3.36;5.71;4.71;41.25;2.49;0.31;11.1;1.35;47.32;56.66;-1.10E+11
01/04/2022;4.83E+12;2.00E+12;2.83E+12;3.63;1.37;5.23;1.69;3.38;5.87;4.71;42.91;2.6;0.27;10.5;1.08;47.12;56.4;-1.48E+11
01/05/2022;4.88E+12;2.01E+12;2.88E+12;3.73;1.51;5.28;1.66;3.41;6.3;4.84;45.03;2.66;0.26;9.8;0.5;47.84;56.91;-1.16E+11
01/06/2022;4.96E+12;2.05E+12;2.91E+12;3.66;1.39;5.26;1.71;3.47;6.55;4.52;44.24;2.59;0.14;9.3;0.67;46.77;56.03;-1.30E+11
01/07/2022;5.00E+12;2.04E+12;2.96E+12;3.82;1.58;5.36;1.76;3.58;6.88;4.36;46.13;2.71;0.18;9.1;-1.19;46.41;55.58;-1.50E+11
01/08/2022;5.07E+12;2.06E+12;3.01E+12;3.84;1.71;5.3;1.72;3.61;7.26;5.26;46.84;2.78;0.18;8.9;-0.57;47.11;56.05;-1.20E+11
01/09/2022;5.16E+12;2.10E+12;3.06E+12;3.64;1.39;5.2;1.73;3.59;7.42;5.22;46.1;2.83;0.18;8.7;0.02;47.01;56.03;-1.31E+11
01/10/2022;5.21E+12;2.10E+12;3.11E+12;3.75;1.42;5.33;1.75;3.75;7.55;4.24;47.06;3;0.18;8.3;0.69;47.01;55.97;-1.58E+11
01/11/2022;5.28E+12;2.12E+12;3.16E+12;3.88;1.65;5.38;1.76;3.79;7.7;4.24;46.72;3.04;0.14;8.1;0.57;46.8;55.81;-1.38E+11
01/12/2022;5.36E+12;2.17E+12;3.19E+12;3.72;1.62;5.15;1.74;3.69;7.77;4.48;48.75;3.19;0.13;7.9;0.35;47.01;56.13;-1.26E+11
01/01/2023;5.37E+12;2.14E+12;3.22E+12;4;1.98;5.34;1.87;3.74;7.86;4.67;49.79;3.41;0.17;8.4;0.8;46.34;55.21;-99012700000
01/02/2023;5.36E+12;2.13E+12;3.24E+12;3.92;1.85;5.28;1.79;3.83;7.73;4.28;48.02;3.54;0.46;8.6;0.34;46.92;55.71;-72559670000
01/03/2023;5.42E+12;2.15E+12;3.27E+12;4.02;1.83;5.45;1.8;3.85;7.72;4.22;52.12;3.56;0.52;8.8;0.74;47.17;55.98;-58377190000
01/04/2023;5.42E+12;2.14E+12;3.28E+12;4;1.81;5.43;1.78;3.95;7.72;4.44;52.08;3.74;0.79;8.5;0.5;47.17;55.92;-78701680000
01/05/2023;5.45E+12;2.14E+12;3.31E+12;4.01;1.78;5.44;1.78;3.92;7.66;4.64;52.99;3.91;0.92;8.3;0.08;47.73;56.59;-28529410000
01/06/2023;5.47E+12;2.16E+12;3.31E+12;3.86;1.67;5.28;1.72;3.87;7.63;4.67;52.46;3.86;1.01;8;-0.1;49;57.78;20369180000
01/07/2023;5.48E+12;2.15E+12;3.33E+12;3.84;1.66;5.24;1.74;3.83;7.42;4.65;53.09;3.92;1.13;7.9;0.07;49.57;58.34;56178540000
01/08/2023;5.55E+12;2.16E+12;3.39E+12;3.81;1.64;5.19;1.71;3.8;7.08;5.1;53.02;3.96;1.23;7.8;-0.22;49.85;58.68;79008620000
01/09/2023;5.62E+12;2.20E+12;3.41E+12;3.69;1.51;5.09;1.74;3.78;6.79;6.12;52.93;3.94;1.25;7.7;0.27;50.15;58.87;97079670000
01/10/2023;5.64E+12;2.20E+12;3.45E+12;4.02;1.83;5.42;1.74;3.73;6.61;6.32;54.86;4.05;1.32;7.6;0.45;50.05;58.85;82281190000
01/11/2023;5.70E+12;2.21E+12;3.49E+12;3.89;1.64;5.32;1.7;3.71;6.32;6.63;53.06;4.09;1.04;7.5;0.27;50.34;59.08;1.20E+11
